TransactionID;FoodItem
126;Nasi Putih
126;Rawon
126;Soto Ayam
127;Bakmi Godog Keju
127;Espresso
127;Espresso
127;Teh Tubruk
129;Macchiato
129;Macchiato
129;Macchiato
129;Teh Tubruk
130;Kopi Tubruk
131;Macchiato
132;French Fries
132;Pisang Goreng
132;Pisang Goreng
132;Pisang Goreng
132;Roti Bakar
132;Roti Bakar
132;Roti Bakar
132;Roti Bakar
132;Teh Tubruk
132;Teh Tubruk
132;Teh Tubruk
132;Teh Tubruk
133;Spaghetti Bolognese
133;Spaghetti Bolognese
133;Fresh Orange Juice
133;Fresh Orange Juice
134;Kopi Tubruk
134;Macchiato
134;Nasi Putih
134;Rawon
134;Soto Ayam
135;Cappuccino
135;Latte
136;Roti Bakar
136;Roti Bakar
136;Roti Bakar
136;Roti Bakar
137;Bakmi Goreng Jawa
137;Kopi Tubruk
137;Macchiato
137;Macchiato
137;Nasi Putih
137;Soto Ayam
138;Bakmi Goreng Jawa
138;Bakmi Goreng Jawa
138;Nasi Putih
138;Nasi Putih
138;Rawon
138;Rawon
138;Soto Ayam
138;Soto Ayam
139;Nasi Putih
139;Soto Ayam
140;Bakmi Goreng Jawa
140;Macchiato
140;Nasi Goreng Jawa
140;Rawon
140;Teh Tarik
140;Mineral Water
141;Bakmi Goreng Jawa
141;Nasi Putih
141;Soto Ayam
143;Macchiato
144;Latte
144;Latte
144;Teh Tarik
144;Teh Tarik
145;Nasi Goreng Jawa
145;Mineral Water
146;Americano
146;Bakmi Goreng Jawa
146;Latte
146;Latte
147;Bakmi Goreng Jawa
147;Bakmi Goreng Jawa
147;Nasi Putih
147;Nasi Putih
147;Soto Ayam
147;Soto Ayam
149;Extra Kerupuk Putih
149;Extra Kerupuk Putih
149;Kopi Tubruk
149;Kopi Tubruk
149;Nasi Goreng Jawa
149;Nasi Goreng Jawa
149;Nasi Putih
149;Nasi Putih
149;Soto Ayam
149;Soto Ayam
149;Mineral Water
149;Mineral Water
151;Roti Bakar
151;Roti Bakar
152;Bakmi Goreng Jawa
153;Extra Kerupuk Putih
153;Kopi Tubruk
153;Nasi Goreng Jawa
153;Nasi Putih
153;Nasi Putih
153;Soto Ayam
153;Soto Ayam
153;Mineral Water
154;Nasi Goreng Jawa
154;Nasi Goreng Jawa
154;Nasi Putih
154;Nasi Putih
154;Soto Ayam
154;Soto Ayam
154;Spaghetti Bolognese
154;Spaghetti Bolognese
154;Mineral Water
154;Mineral Water
154;Fresh Orange Juice
154;Fresh Orange Juice
155;Nasi Putih
155;Nasi Putih
155;Soto Ayam
155;Soto Ayam
156;Nasi Putih
156;Nasi Putih
156;Soto Ayam
156;Soto Ayam
157;Nasi Goreng Jawa
157;Mineral Water
158;Bakmi Goreng Jawa
158;Bakmi Goreng Jawa
159;Nasi Goreng Jawa
159;Nasi Goreng Jawa
159;Nasi Putih
159;Nasi Putih
159;Nasi Putih
159;Nasi Putih
159;Soto Ayam
159;Soto Ayam
159;Mineral Water
159;Mineral Water
161;Bakmi Goreng Jawa
161;Bakmi Goreng Jawa
161;Extra Kerupuk Putih
161;Extra Kerupuk Putih
161;Kopi Tubruk
161;Kopi Tubruk
161;Nasi Goreng Jawa
161;Nasi Goreng Jawa
161;Mineral Water
161;Mineral Water
163;Bakmi Goreng Jawa
163;Bakmi Goreng Jawa
165;Cappuccino
165;Macchiato
165;Teh Tarik
166;Kopi Tubruk
166;Kopi Tubruk
166;Macchiato
167;Kopi Tubruk
167;Kopi Tubruk
167;Nasi Putih
167;Teh Tarik
168;Nasi Putih
168;Teh Tarik
168;Teh Tarik
168;Teh Tarik
169;Bakmi Goreng Jawa
169;Nasi Putih
169;Soto Ayam
170;Bakmi Godog Keju
170;Kopi Tubruk
170;Nasi Putih
170;Teh Tubruk
171;Cappuccino
171;Macchiato
171;Teh Tarik
172;Latte
172;Latte
172;Teh Tarik
173;Extra Kerupuk Putih
173;Kopi Tubruk
173;Nasi Goreng Jawa
173;Nasi Putih
173;Soto Ayam
173;Mineral Water
174;Bakmi Godog Keju
174;Bakmi Goreng Jawa
174;Nasi Goreng Jawa
174;Teh Tubruk
174;Mineral Water
175;Macchiato
175;Nasi Putih
175;Soto Ayam
175;Teh Tarik
176;Cappuccino
176;Extra Kerupuk Putih
176;Kopi Tubruk
176;Nasi Goreng Jawa
176;Pisang Goreng
176;Roti Bakar
176;Mineral Water
177;Bakmi Goreng Jawa
177;Nasi Putih
177;Pisang Goreng
177;Pisang Goreng
177;Rawon
177;Soto Ayam
177;Spaghetti Bolognese
177;Teh Tubruk
177;Teh Tubruk
177;Teh Tubruk
177;Teh Tubruk
177;Fresh Orange Juice
178;Bakmi Goreng Jawa
178;Nasi Putih
178;Soto Ayam
179;Nasi Goreng Jawa
179;Nasi Putih
179;Nasi Putih
179;Soto Ayam
179;Soto Ayam
179;Mineral Water
180;Cappuccino
180;Macchiato
181;Nasi Goreng Jawa
181;Rawon
181;Mineral Water
182;Extra Kerupuk Putih
182;Kopi Tubruk
182;Nasi Goreng Jawa
182;Mineral Water
183;Kopi Tubruk
183;Macchiato
183;Roti Bakar
184;Nasi Goreng Jawa
184;Pisang Goreng
184;Roti Bakar
184;Mineral Water
185;Rawon
186;Nasi Putih
186;Spaghetti Bolognese
186;Fresh Orange Juice
187;Bakmi Goreng Jawa
187;Nasi Putih
187;Soto Ayam
188;Roti Bakar
189;Rawon
189;Spaghetti Bolognese
189;Fresh Orange Juice
190;Nasi Putih
190;Rawon
190;Soto Ayam
190;Spaghetti Bolognese
190;Spaghetti Bolognese
190;Fresh Orange Juice
190;Fresh Orange Juice
191;Latte
191;Teh Tarik
191;Teh Tubruk
192;Cappuccino
192;Kopi Tubruk
192;Macchiato 
193;Kopi Tubruk
193;Macchiato
193;Teh Tarik
194;Bakmi Goreng Jawa
194;Nasi Putih
194;Soto Ayam
196;Nasi Putih
196;Rawon
197;Nasi Goreng Jawa
197;Nasi Putih
197;Soto Ayam
197;Spaghetti Bolognese
197;Mineral Water
197;Fresh Orange Juice
198;Latte
198;Macchiato
199;Bakmi Goreng Jawa
199;Extra Kerupuk Putih
199;Kopi Tubruk
199;Nasi Goreng Jawa
199;Mineral Water
200;Cappuccino
200;Macchiato
200;Teh Tarik
201;Bakmi Goreng Jawa
201;Spaghetti Bolognese
201;Fresh Orange Juice
202;Nasi Putih
202;Nasi Putih
202;Soto Ayam
203;Rawon
204;Nasi Putih
204;Spaghetti Bolognese
204;Fresh Orange Juice
205;Roti Bakar
206;Roti Bakar
206;Pisang Goreng
207;Nasi Putih
207;Spaghetti Bolognese
207;Fresh Orange Juice
208;Latte
208;Macchiato
209;Macchiato
209;Mineral Water
210;Fresh Orange Juice
210;Macchiato
211;Kopi Tubruk
211;Kopi Tubruk
212;Macchiato
212;Teh Tarik
213;Latte
213;Macchiato
214;Latte
214;Macchiato
216;Nasi Putih
216;Rawon
216;Soto Ayam
217;Bakmi Goreng Jawa
217;Nasi Putih
218;Rawon
218;Rawon
219;Roti Bakar
220;Nasi Putih
220;Rawon
221;Cappuccino
221;Macchiato
222;Nasi Putih
222;Rawon
223;Nasi Putih
223;Soto Ayam
224;Bakmi Goreng Jawa
224;Nasi Goreng Jawa
224;Mineral Water
225;Kopi Tubruk
225;Nasi Putih
225;Soto Ayam
226;Bakmi Goreng Jawa
226;Extra Kerupuk Putih
226;Kopi Tubruk
226;Nasi Goreng Jawa
226;Mineral Water
227;Bakmi Goreng Jawa
227;Extra Kerupuk Putih
227;Kopi Tubruk
227;Nasi Goreng Jawa
227;Mineral Water
228;Bakmi Goreng Jawa
228;Nasi Goreng Jawa
228;Mineral Water
229;Nasi Putih
229;Soto Ayam
230;Nasi Putih
230;Rawon
231;Extra Kerupuk Putih
231;Kopi Tubruk
231;Kopi Tubruk
231;Nasi Goreng Jawa
231;Rawon
231;Mineral Water
232;Bakmi Goreng Jawa
232;Extra Kerupuk Putih
232;Kopi Tubruk
232;Nasi Goreng Jawa
232;Soto Ayam
232;Soto Ayam
232;Mineral Water
234;Bakmi Goreng Jawa
234;Bakmi Goreng Jawa
234;Nasi Putih
235;Nasi Goreng Jawa
235;Rawon
235;Spaghetti Bolognese
235;Mineral Water
235;Fresh Orange Juice
236;Hot/Ice Lemon Tea
236;Kopi Tubruk
236;Macchiato
236;Teh Tarik
237;Soto Ayam
238;Extra Kerupuk Putih
238;Kopi Tubruk
238;Latte
238;Latte
238;Latte
238;Nasi Goreng Jawa
238;Mineral Water
239;Rawon
239;Rawon
239;Soto Ayam
240;Soto Ayam
241;Bakmi Goreng Jawa
241;Latte
241;Soto Ayam
241;Teh Tarik
242;Bakmi Godog Keju
242;Teh Tubruk
243;Latte
243;Macchiato
244;Latte
244;Macchiato
245;Macchiato
245;Mineral Water
245;Rawon
245;Rawon
245;Teh Tubruk
246;Bakmi Goreng Jawa
246;Roti Bakar
247;Latte
247;Latte
247;Macchiato
247;Teh Tarik
248;Rawon
248;Soto Ayam
249;Bakmi Goreng Jawa
249;Kopi Tubruk
249;Latte
249;Soto Ayam
250;Kopi Tubruk
250;Kopi Tubruk
250;Teh Tarik
251;Rawon
251;Soto Ayam
252;Rawon
252;Soto Ayam
253;Teh Tubruk
254;Teh Tubruk
255;Teh Tubruk
256;Teh Tubruk
257;Extra Kerupuk Putih
257;Kopi Tubruk
257;Nasi Goreng Jawa
257;Nasi Putih
257;Teh Tarik
257;Mineral Water
258;Cappuccino
258;Kopi Tubruk
258;Kopi Tubruk
258;Kopi Tubruk
258;Kopi Tubruk
258;Kopi Tubruk
258;Latte
258;Latte
258;Soto Ayam
258;Soto Ayam
259;Americano
259;Fresh Orange Juice
259;Kopi Tubruk
259;Kopi Tubruk
259;Nasi Goreng Jawa
259;Rawon
259;Mineral Water
260;Macchiato
260;Rawon
261;Fresh Orange Juice
261;Soto Ayam
262;Kopi Tubruk
262;Kopi Tubruk
262;Mineral Water
263;Nasi Putih
264;Nasi Goreng Jawa
264;Mineral Water
265;Bakmi Goreng Jawa
266;Kopi Tubruk
267;Latte
267;Mineral Water
268;Latte
268;Mineral Water
269;Hot/Ice Lemon Tea
270;Cappuccino
270;Kopi Tubruk
270;Kopi Tubruk
270;Kopi Tubruk
270;Pisang Goreng
270;Teh Tubruk
270;Teh Tubruk
270;Teh Tubruk
271;Rawon
272;Rawon
273;Roti Bakar
273;Teh Tubruk
274;Extra Kerupuk Putih
274;Kopi Tubruk
274;Nasi Goreng Jawa
274;Nasi Putih
274;Teh Tubruk
274;Teh Tubruk
274;Mineral Water
275;Rawon
276;Soto Ayam
276;Teh Tubruk
277;Bakmi Goreng Jawa
277;Bakmi Goreng Jawa
277;Mineral Water
277;Teh Tubruk
278;Rawon
279;Americano
279;Bakmi Godog Keju
279;Bakmi Goreng Jawa
279;Bakmi Goreng Jawa
279;Bakmi Goreng Jawa
279;Extra Kerupuk Putih
279;Fresh Orange Juice
279;Hot/Ice Lemon Tea
279;Kopi Tubruk
279;Mineral Water
279;Mineral Water
279;Mineral Water
279;Nasi Goreng Jawa
279;Nasi Putih
279;Nasi Putih
279;Rawon
279;Rawon
279;Rawon
279;Soto Ayam
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Teh Tubruk
279;Mineral Water
280;Macchiato
281;Latte
281;Nasi Goreng Jawa
281;Soto Ayam
281;Teh Tubruk
281;Mineral Water
282;Americano
282;Latte
282;Pisang Goreng
282;Rawon
282;Soto Ayam
282;Teh Tubruk
282;Teh Tubruk
283;Latte
283;Mineral Water
283;Nasi Putih
283;Rawon
284;Cappuccino
284;Roti Bakar
285;Bakmi Goreng Jawa
285;Mineral Water
285;Mineral Water
285;Soto Ayam
286;Bakmi Godog Keju
286;Mineral Water
286;Soto Ayam
286;Soto Ayam
286;Teh Tubruk
286;Teh Tubruk
287;Nasi Putih
288;French Fries
288;French Fries
288;Macchiato
288;Mineral Water
288;Rawon
288;Teh Tubruk
288;Teh Tubruk
289;Bakmi Godog Keju
289;Kopi Tubruk
289;Soto Ayam
289;Teh Tubruk
289;Teh Tubruk
290;Kopi Tubruk
290;Teh Tubruk
291;Nasi Putih
291;Roti Bakar
291;Teh Tarik
292;Bakmi Goreng Jawa
292;French Fries
292;Latte
292;Macchiato 
292;Mineral Water
292;Mineral Water
292;Soto Ayam
292;Teh Tubruk
293;Teh Tarik
294;Fresh Orange Juice
294;Macchiato
294;Pisang Goreng
295;Bakmi Goreng Jawa
295;Teh Tubruk
295;Teh Tubruk
295;Teh Tubruk
295;Teh Tubruk
296;Americano
297;Macchiato
297;Teh Tubruk
298;Latte
298;Soto Ayam
299;Kopi Tubruk
299;Kopi Tubruk
299;Nasi Putih
299;Nasi Putih
299;Teh Tubruk
299;Teh Tubruk
300;Espresso
301;Extra Kerupuk Putih
301;Kopi Tubruk
301;Mineral Water
301;Nasi Goreng Jawa
301;Teh Tubruk
301;Mineral Water
302;French Fries
302;Macchiato
302;Pisang Goreng
303;Extra Kerupuk Putih
303;French Fries
303;Kopi Tubruk
303;Macchiato 
303;Nasi Goreng Jawa
303;Nasi Putih
303;Teh Tubruk
303;Teh Tubruk
303;Teh Tubruk
303;Mineral Water
304;Mineral Water
304;Soto Ayam
304;Soto Ayam
304;Teh Tubruk
304;Teh Tubruk
323;Kopi Tubruk
323;Nasi Goreng Jawa
323;Soto Ayam
323;Mineral Water
324;Cappuccino
324;Latte
324;Macchiato
324;Nasi Putih
324;Rawon
324;Soto Ayam
356;Nasi Goreng Jawa
356;Nasi Putih
356;Pisang Goreng
356;Teh Tubruk
356;Mineral Water
357;Spaghetti Bolognese
357;Teh Tarik
357;Fresh Orange Juice
359;Bakmi Godog Keju
359;Latte
359;Latte
359;Pisang Goreng
359;Rawon
359;Teh Tubruk
362;Nasi Putih
362;Rawon
362;Soto Ayam
362;Teh Tubruk
363;Macchiato
363;Soto Ayam
363;Spaghetti Bolognese
363;Fresh Orange Juice
364;Bakmi Godog Keju
364;Bakmi Godog Keju
364;Bakmi Godog Keju
364;Bakmi Godog Keju
364;Bakmi Goreng Jawa
364;Kopi Tubruk
364;Mineral Water
364;Pisang Goreng
364;Rawon
364;Soto Ayam
364;Soto Ayam
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
364;Teh Tubruk
365;Nasi Goreng Jawa
365;Roti Bakar
365;Teh Tubruk
365;Mineral Water
366;Americano
366;Bakmi Goreng Jawa
366;Bakmi Goreng Jawa
366;Extra Kerupuk Putih
366;Kopi Tubruk
366;Mineral Water
366;Nasi Goreng Jawa
366;Nasi Goreng Jawa
366;Roti Bakar
366;Teh Tubruk
366;Teh Tubruk
366;Mineral Water
366;Mineral Water
367;Teh Tubruk
368;Cappuccino
368;Kopi Tubruk
368;Pisang Goreng
368;Pisang Goreng
368;Roti Bakar
369;Hot/Ice Lemon Tea
369;Kopi Tubruk
369;Kopi Tubruk
369;Latte
369;Macchiato 
369;Macchiato 
369;Soto Ayam
369;Teh Tubruk
369;Teh Tubruk
370;Latte
370;Rawon
370;Rawon
370;Roti Bakar
371;Extra Kerupuk Putih
371;Kopi Tubruk
371;Nasi Goreng Jawa
371;Mineral Water
372;Bakmi Godog Keju
372;Hot/Ice Lemon Tea
372;Teh Tubruk
373;Extra Kerupuk Putih
373;Extra Kerupuk Putih
373;Extra Kerupuk Putih
373;Extra Kerupuk Putih
373;Fresh Orange Juice
373;Kopi Tubruk
373;Kopi Tubruk
373;Kopi Tubruk
373;Kopi Tubruk
373;Nasi Goreng Jawa
373;Nasi Goreng Jawa
373;Nasi Goreng Jawa
373;Nasi Goreng Jawa
373;Pisang Goreng
373;Soto Ayam
373;Teh Tubruk
373;Teh Tubruk
373;Teh Tubruk
373;Teh Tubruk
373;Teh Tubruk
373;Teh Tubruk
373;Mineral Water
373;Mineral Water
373;Mineral Water
373;Mineral Water
374;Extra Kerupuk Putih
374;Kopi Tubruk
374;Nasi Goreng Jawa
374;Mineral Water
375;Pisang Goreng
375;Teh Tubruk
375;Teh Tubruk
377;Cappuccino
377;Pisang Goreng
377;Teh Tubruk
378;Kopi Tubruk
378;Teh Tarik
379;Kopi Tubruk
379;Latte
379;Mineral Water
379;Soto Ayam
379;Soto Ayam
380;Bakmi Goreng Jawa
380;Fresh Orange Juice
380;Fresh Orange Juice
380;Macchiato 
380;Nasi Putih
380;Nasi Putih
380;Pisang Goreng
380;Rawon
380;Soto Ayam
380;Soto Ayam
380;Teh Tubruk
380;Teh Tubruk
381;Bakmi Goreng Jawa
381;Bakmi Goreng Jawa
381;Extra Kerupuk Putih
381;Kopi Tubruk
381;Mineral Water
381;Nasi Goreng Jawa
381;Nasi Putih
381;Teh Tubruk
381;Teh Tubruk
381;Mineral Water
382;Bakmi Goreng Jawa
382;Extra Kerupuk Putih
382;Kopi Tubruk
382;Nasi Goreng Jawa
382;Teh Tubruk
382;Teh Tubruk
382;Teh Tubruk
382;Mineral Water
383;Mineral Water
383;Soto Ayam
384;Macchiato 
384;Pisang Goreng
384;Teh Tubruk
384;Teh Tubruk
385;Bakmi Goreng Jawa
386;Cappuccino
386;Double Espresso
386;Hot/Ice Lemon Tea
386;Soto Ayam
387;Americano
387;Bakmi Goreng Jawa
387;Fresh Orange Juice
387;Pisang Goreng
387;Teh Tubruk
387;Teh Tubruk
388;Mineral Water
388;Pisang Goreng
388;Teh Tubruk
388;Teh Tubruk
388;Teh Tubruk
389;Kopi Tubruk
389;Mineral Water
389;Mineral Water
389;Mineral Water
389;Nasi Goreng Jawa
389;Pisang Goreng
389;Pisang Goreng
389;Pisang Goreng
389;Pisang Goreng
389;Soto Ayam
389;Teh Tubruk
389;Teh Tubruk
389;Teh Tubruk
389;Teh Tubruk
389;Teh Tubruk
389;Mineral Water
390;Bakmi Goreng Jawa
390;French Fries
390;Macchiato
390;Mineral Water
390;Pisang Goreng
390;Roti Bakar
390;Teh Tubruk
390;Teh Tubruk
391;Bakmi Godog Keju
391;Extra Kerupuk Putih
391;Kopi Tubruk
391;Nasi Goreng Jawa
391;Nasi Putih
391;Rawon
391;Soto Ayam
391;Teh Tubruk
391;Mineral Water
392;Cappuccino
393;French Fries
393;Fresh Orange Juice
393;Macchiato 
393;Mineral Water
393;Mineral Water
393;Mineral Water
393;Pisang Goreng
393;Teh Tarik
393;Teh Tubruk
393;Teh Tubruk
395;Extra Kerupuk Putih
395;Extra Kerupuk Putih
395;Hot/Ice Lemon Tea
395;Kopi Tubruk
395;Kopi Tubruk
395;Mineral Water
395;Mineral Water
395;Nasi Goreng Jawa
395;Nasi Goreng Jawa
395;Soto Ayam
395;Soto Ayam
395;Soto Ayam
395;Teh Tubruk
395;Mineral Water
395;Mineral Water
396;Americano
396;Bakmi Godog Keju
396;Bakmi Godog Keju
396;Bakmi Godog Keju
396;Bakmi Godog Keju
396;Bakmi Goreng Jawa
396;Bakmi Goreng Jawa
396;Bakmi Goreng Jawa
396;Bakmi Goreng Jawa
396;Bakmi Goreng Jawa
396;Cappuccino
396;Extra Kerupuk Putih
396;Extra Kerupuk Putih
396;Extra Kerupuk Putih
396;French Fries
396;Fresh Orange Juice
396;Fresh Orange Juice
396;Hot/Ice Lemon Tea
396;Kopi Tubruk
396;Kopi Tubruk
396;Kopi Tubruk
396;Kopi Tubruk
396;Latte
396;Latte
396;Mineral Water
396;Mineral Water
396;Mineral Water
396;Mineral Water
396;Mineral Water
396;Mineral Water
396;Mineral Water
396;Nasi Goreng Jawa
396;Nasi Goreng Jawa
396;Nasi Goreng Jawa
396;Rawon
396;Rawon
396;Rawon
396;Roti Bakar
396;Soto Ayam
396;Soto Ayam
396;Soto Ayam
396;Soto Ayam
396;Teh Tubruk
396;Teh Tubruk
396;Teh Tubruk
396;Teh Tubruk
396;Teh Tubruk
396;Teh Tubruk
396;Teh Tubruk
396;Mineral Water
396;Mineral Water
396;Mineral Water
397;Pisang Goreng
398;Bakmi Goreng Jawa
398;Bakmi Goreng Jawa
398;Fresh Orange Juice
398;Nasi Putih
398;Nasi Putih
398;Rawon
398;Rawon
398;Roti Bakar
398;Teh Tubruk
398;Teh Tubruk
398;Teh Tubruk
398;Teh Tubruk
399;Pisang Goreng
400;Bakmi Goreng Jawa
400;Bakmi Goreng Jawa
400;Extra Kerupuk Putih
400;Kopi Tubruk
400;Nasi Goreng Jawa
400;Nasi Putih
400;Rawon
400;Roti Bakar
400;Mineral Water
401;Mineral Water
402;Bakmi Godog Keju
402;Kopi Tubruk
402;Teh Tubruk
403;Cappuccino
403;French Fries
403;Fresh Orange Juice
403;Fresh Orange Juice
403;Mineral Water
403;Nasi Putih
403;Rawon
403;Teh Tubruk
404;Mineral Water
405;Mineral Water
405;Pisang Goreng
405;Soto Ayam
406;Extra Kerupuk Putih
406;Kopi Tubruk
406;Mineral Water
406;Nasi Goreng Jawa
406;Pisang Goreng
406;Teh Tubruk
406;Teh Tubruk
406;Teh Tubruk
406;Teh Tubruk
406;Mineral Water
407;Extra Kerupuk Putih
407;Kopi Tubruk
407;Nasi Goreng Jawa
407;Mineral Water
408;Pisang Goreng
408;Pisang Goreng
408;Teh Tubruk
408;Teh Tubruk
408;Teh Tubruk
408;Teh Tubruk
409;Kopi Tubruk
409;Teh Tubruk
409;Teh Tubruk
410;Extra Kerupuk Putih
410;Kopi Tubruk
410;Nasi Goreng Jawa
410;Mineral Water
411;Bakmi Godog Keju
411;Bakmi Godog Keju
411;Bakmi Godog Keju
411;Bakmi Godog Keju
411;Bakmi Goreng Jawa
411;Extra Kerupuk Putih
411;Extra Kerupuk Putih
411;French Fries
411;French Fries
411;Fresh Orange Juice
411;Fresh Orange Juice
411;Kopi Tubruk
411;Kopi Tubruk
411;Kopi Tubruk
411;Kopi Tubruk
411;Kopi Tubruk
411;Kopi Tubruk
411;Kopi Tubruk
411;Latte
411;Mineral Water
411;Mineral Water
411;Mineral Water
411;Mineral Water
411;Nasi Goreng Jawa
411;Nasi Goreng Jawa
411;Nasi Goreng Jawa
411;Nasi Putih
411;Nasi Putih
411;Nasi Putih
411;Pisang Goreng
411;Pisang Goreng
411;Pisang Goreng
411;Pisang Goreng
411;Rawon
411;Rawon
411;Rawon
411;Rawon
411;Roti Bakar
411;Soto Ayam
411;Teh Tarik
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Teh Tubruk
411;Mineral Water
411;Mineral Water
411;Mineral Water
412;Bakmi Godog Keju
412;Bakmi Goreng Jawa
412;Cappuccino
412;Cappuccino
412;Espresso
412;French Fries
412;Kopi Tubruk
412;Latte
412;Latte
412;Latte
412;Macchiato
412;Mineral Water
412;Nasi Goreng Jawa
412;Nasi Putih
412;Pisang Goreng
412;Roti Bakar
412;Roti Bakar
412;Roti Bakar
412;Soto Ayam
412;Soto Ayam
412;Teh Tubruk
412;Teh Tubruk
412;Teh Tubruk
412;Teh Tubruk
412;Teh Tubruk
412;Teh Tubruk
412;Teh Tubruk
412;Mineral Water
413;Bakmi Godog Keju
413;Bakmi Godog Keju
413;Bakmi Goreng Jawa
413;Extra Kerupuk Putih
413;Extra Kerupuk Putih
413;Fresh Orange Juice
413;Fresh Orange Juice
413;Fresh Orange Juice
413;Fresh Orange Juice
413;Kopi Tubruk
413;Kopi Tubruk
413;Kopi Tubruk
413;Latte
413;Macchiato
413;Macchiato
413;Macchiato 
413;Mineral Water
413;Mineral Water
413;Mineral Water
413;Nasi Goreng Jawa
413;Nasi Goreng Jawa
413;Pisang Goreng
413;Pisang Goreng
413;Rawon
